trade_id,date,side,entry_time,exit_time,underlying_entry,underlying_exit,h3,l3,h1,l1,strike,option_type,option_symbol,entry_premium,exit_premium,lots,lot_size,gross_pnl,charges,net_pnl,exit_reason,re_entry_number,regime_at_exit
1,2025-09-01,CALL,2025-09-01 10:28:00,2025-09-01 15:15:00,24530.25,24623.95,24515.15,24432.70,24529.15,24432.70,24250,CE,NIFTY24250CE,359.41,416.32,1,25,1422.63,64.27,1358.35,FORCE_EXIT,0,B
1,2025-09-02,PUT,2025-09-02 09:22:00,2025-09-02 09:31:00,24638.35,24671.10,24685.85,24646.65,24662.05,24635.15,24850,PE,NIFTY24850PE,352.00,326.10,1,25,-647.62,61.56,-709.19,CANDLE_SL,0,A
1,2025-09-03,PUT,2025-09-03 09:19:00,2025-09-03 12:13:00,24541.00,24630.40,24630.70,24545.60,24630.70,24534.30,24800,PE,NIFTY24800PE,352.00,287.97,1,25,-1600.69,60.46,-1661.15,CANDLE_SL,0,A
1,2025-09-04,PUT,2025-09-04 10:12:00,2025-09-04 10:23:00,24849.30,24874.30,24980.75,24862.30,24875.35,24852.80,25200,PE,NIFTY25200PE,359.96,339.71,1,25,-506.25,62.07,-568.32,CANDLE_SL,0,A
2,2025-09-04,PUT,2025-09-04 10:32:00,2025-09-04 15:15:00,24838.55,24708.75,24980.75,24862.30,24875.35,24852.80,25200,PE,NIFTY25200PE,366.95,447.32,1,25,2009.25,65.27,1943.98,FORCE_EXIT,1,B
1,2025-09-05,CALL,2025-09-05 09:20:00,2025-09-05 09:23:00,24824.90,24795.55,24827.05,24790.70,24828.35,24808.00,24600,CE,NIFTY24600CE,352.00,328.04,1,25,-598.88,61.62,-660.49,CANDLE_SL,0,A
1,2025-09-08,PUT,2025-09-08 09:23:00,2025-09-08 09:37:00,24769.85,24832.90,24831.35,24796.45,24831.35,24791.75,25000,PE,NIFTY25000PE,369.81,324.83,1,25,-1124.56,61.77,-1186.34,CANDLE_SL,0,A
2,2025-09-08,PUT,2025-09-08 10:29:00,2025-09-08 12:05:00,24789.35,24833.30,24831.35,24796.45,24831.35,24791.75,25000,PE,NIFTY25000PE,357.14,324.57,1,25,-814.19,61.59,-875.78,CANDLE_SL,1,A
1,2025-09-10,CALL,2025-09-10 09:38:00,2025-09-10 11:19:00,24996.85,24981.20,24992.80,24958.10,24993.80,24985.95,24800,CE,NIFTY24800CE,352.00,340.92,1,25,-277.12,61.99,-339.11,CANDLE_SL,0,A
2,2025-09-10,CALL,2025-09-10 11:24:00,2025-09-10 11:31:00,24993.55,24986.30,24992.80,24958.10,24993.80,24985.95,24800,CE,NIFTY24800CE,352.94,344.23,1,25,-217.81,62.10,-279.91,CANDLE_SL,1,A
1,2025-09-11,CALL,2025-09-11 09:19:00,2025-09-11 15:15:00,25000.80,25011.90,24978.20,24940.15,24994.90,24940.15,24750,CE,NIFTY24750CE,352.00,361.16,1,25,229.06,62.57,166.49,FORCE_EXIT,0,A
1,2025-09-15,PUT,2025-09-15 09:19:00,2025-09-15 15:15:00,25091.40,25065.25,25138.45,25107.25,25138.45,25094.40,25300,PE,NIFTY25300PE,352.00,368.25,1,25,406.19,62.78,343.41,FORCE_EXIT,0,A
1,2025-09-16,CALL,2025-09-16 09:22:00,2025-09-16 09:27:00,25117.80,25110.00,25111.25,25070.45,25117.80,25104.40,24850,CE,NIFTY24850CE,352.00,344.62,1,25,-184.50,62.10,-246.60,CANDLE_SL,0,A
2,2025-09-16,CALL,2025-09-16 09:32:00,2025-09-16 15:15:00,25117.70,25240.65,25111.25,25070.45,25117.80,25104.40,24850,CE,NIFTY24850CE,353.62,429.54,1,25,1897.94,64.57,1833.36,FORCE_EXIT,1,B
1,2025-09-17,CALL,2025-09-17 09:23:00,2025-09-17 09:26:00,25320.95,25299.65,25316.35,25275.35,25320.60,25304.70,25100,CE,NIFTY25100CE,352.00,336.56,1,25,-386.00,61.86,-447.86,CANDLE_SL,0,A
2,2025-09-17,CALL,2025-09-17 09:35:00,2025-09-17 14:03:00,25319.55,25306.80,25316.35,25275.35,25320.60,25304.70,25100,CE,NIFTY25100CE,353.49,341.21,1,25,-307.19,62.02,-369.21,CANDLE_SL,1,A
1,2025-09-19,PUT,2025-09-19 09:19:00,2025-09-19 15:15:00,25381.45,25327.35,25428.75,25376.40,25428.75,25364.85,25600,PE,NIFTY25600PE,352.00,373.81,1,25,545.13,62.94,482.19,FORCE_EXIT,0,B
1,2025-09-22,CALL,2025-09-22 09:24:00,2025-09-22 14:27:00,25276.55,25254.30,25264.35,25213.85,25266.80,25251.00,25050,CE,NIFTY25050CE,359.93,341.47,1,25,-461.56,62.12,-523.68,CANDLE_SL,0,A
1,2025-09-23,PUT,2025-09-23 09:28:00,2025-09-23 12:35:00,25193.65,25207.15,25250.85,25209.00,25219.45,25202.25,25400,PE,NIFTY25400PE,362.14,349.36,1,25,-319.38,62.38,-381.75,PREMIUM_TRAIL_SL,0,B
1,2025-09-24,PUT,2025-09-24 09:19:00,2025-09-24 15:15:00,25092.30,25060.30,25149.85,25095.25,25149.85,25088.75,25300,PE,NIFTY25300PE,352.00,368.93,1,25,423.25,62.80,360.45,FORCE_EXIT,0,A
1,2025-09-25,CALL,2025-09-25 09:20:00,2025-09-25 10:36:00,25061.35,25011.35,25048.60,25003.90,25054.75,25024.45,24850,CE,NIFTY24850CE,352.00,320.02,1,25,-799.56,61.39,-860.95,CANDLE_SL,0,A
1,2025-09-26,PUT,2025-09-26 09:21:00,2025-09-26 15:15:00,24787.80,24645.25,24868.60,24809.05,24835.80,24796.50,25000,PE,NIFTY25000PE,352.00,447.22,1,25,2380.56,65.06,2315.50,FORCE_EXIT,0,B
1,2025-09-29,CALL,2025-09-29 09:44:00,2025-09-29 10:55:00,24750.80,24729.15,24743.75,24668.45,24745.15,24731.25,24550,CE,NIFTY24550CE,352.00,336.92,1,25,-377.06,61.87,-438.94,CANDLE_SL,0,A
2,2025-09-29,CALL,2025-09-29 11:02:00,2025-09-29 11:30:00,24756.50,24716.45,24743.75,24668.45,24745.15,24731.25,24550,CE,NIFTY24550CE,358.69,328.66,1,25,-750.81,61.73,-812.54,CANDLE_SL,1,A
1,2025-09-30,CALL,2025-09-30 09:21:00,2025-09-30 09:23:00,24727.75,24707.10,24720.40,24680.95,24724.25,24702.90,24500,CE,NIFTY24500CE,352.00,337.14,1,25,-371.38,61.88,-433.26,CANDLE_SL,0,A
1,2025-10-01,CALL,2025-10-01 09:34:00,2025-10-01 10:03:00,24663.65,24648.35,24661.85,24619.60,24664.05,24651.80,24400,CE,NIFTY24400CE,352.00,339.23,1,25,-319.37,61.94,-381.32,CANDLE_SL,0,A
2,2025-10-01,CALL,2025-10-01 10:18:00,2025-10-01 10:22:00,24668.00,24653.60,24661.85,24619.60,24664.05,24651.80,24400,CE,NIFTY24400CE,356.00,342.64,1,25,-334.00,62.10,-396.10,CANDLE_SL,1,A
1,2025-10-03,PUT,2025-10-03 09:28:00,2025-10-03 09:33:00,24761.40,24785.75,24855.70,24758.60,24787.55,24758.05,24950,PE,NIFTY24950PE,352.00,329.74,1,25,-556.62,61.67,-618.29,CANDLE_SL,0,A
1,2025-10-06,PUT,2025-10-06 09:30:00,2025-10-06 09:36:00,24888.10,24923.75,24940.05,24905.55,24915.35,24897.85,25100,PE,NIFTY25100PE,352.00,332.86,1,25,-478.62,61.76,-540.38,CANDLE_SL,0,A
1,2025-10-07,CALL,2025-10-07 09:41:00,2025-10-07 11:21:00,25139.70,25124.00,25139.70,25083.00,25141.65,25128.60,24900,CE,NIFTY24900CE,352.00,336.69,1,25,-382.75,61.87,-444.62,CANDLE_SL,0,A
1,2025-10-08,CALL,2025-10-08 09:19:00,2025-10-08 11:01:00,25146.05,25074.25,25130.80,25078.00,25146.80,25078.00,24900,CE,NIFTY24900CE,352.00,302.31,1,25,-1242.37,60.87,-1303.25,CANDLE_SL,0,A
1,2025-10-09,PUT,2025-10-09 09:52:00,2025-10-09 10:32:00,25044.35,25084.60,25085.50,25047.75,25085.50,25044.60,25250,PE,NIFTY25250PE,353.24,323.07,1,25,-754.06,61.49,-815.55,CANDLE_SL,0,A
1,2025-10-10,CALL,2025-10-10 09:19:00,2025-10-10 15:15:00,25221.20,25290.85,25204.70,25156.85,25220.00,25156.85,24950,CE,NIFTY24950CE,352.00,394.73,1,25,1068.37,63.54,1004.83,FORCE_EXIT,0,B
