trade_id,date,side,entry_time,exit_time,underlying_entry,underlying_exit,h3,l3,h1,l1,strike,option_type,option_symbol,entry_premium,exit_premium,lots,lot_size,gross_pnl,charges,net_pnl,exit_reason,re_entry_number,regime_at_exit
1,2025-12-03,PUT,2025-12-03 09:27:00,2025-12-03 15:15:00,25967.20,25989.35,26066.45,26004.40,26011.90,25994.25,26200,PE,NIFTY26200PE,431.00,442.50,1,25,287.50,66.03,221.47,FORCE_EXIT,0,A
1,2025-12-04,CALL,2025-12-04 10:16:00,2025-12-04 15:15:00,26043.45,26034.75,25988.85,25938.95,25994.30,25961.00,25800,CE,NIFTY25800CE,952.00,945.20,1,25,-170.00,87.87,-257.87,FORCE_EXIT,0,A
1,2025-12-09,PUT,2025-12-09 09:26:00,2025-12-09 15:15:00,25814.00,25836.80,25890.95,25830.15,25847.40,25819.80,26050,PE,NIFTY26050PE,411.25,448.05,1,25,920.00,65.92,854.08,FORCE_EXIT,0,B
1,2025-12-17,CALL,2025-12-17 09:23:00,2025-12-17 09:44:00,25909.95,25880.20,25904.15,25855.65,25914.55,25881.10,25700,CE,NIFTY25700CE,813.80,809.80,1,25,-100.00,82.02,-182.02,CANDLE_SL,0,A
1,2025-12-18,PUT,2025-12-18 09:43:00,2025-12-18 10:11:00,25756.90,25782.40,25827.15,25762.45,25776.85,25751.90,25950,PE,NIFTY25950PE,371.30,367.30,1,25,-100.00,63.02,-163.02,CANDLE_SL,0,A
1,2025-12-19,CALL,2025-12-19 09:26:00,2025-12-19 15:15:00,25936.40,25966.10,25929.85,25880.45,25939.15,25880.45,25700,CE,NIFTY25700CE,825.00,847.00,1,25,550.00,83.25,466.75,FORCE_EXIT,0,A
1,2025-12-23,PUT,2025-12-23 09:30:00,2025-12-23 09:56:00,26138.85,26161.60,26206.55,26145.25,26158.70,26141.55,26400,PE,NIFTY26400PE,380.30,364.65,1,25,-391.25,63.07,-454.32,CANDLE_SL,0,A
1,2025-12-24,CALL,2025-12-24 09:33:00,2025-12-24 11:43:00,26227.30,26190.40,26211.80,26141.40,26215.90,26197.35,25950,CE,NIFTY25950CE,824.00,829.15,1,25,128.75,82.72,46.03,CANDLE_SL,0,A
1,2025-12-26,PUT,2025-12-26 09:40:00,2025-12-26 15:15:00,26092.15,26040.00,26144.20,26095.65,26102.75,26092.35,26300,PE,NIFTY26300PE,360.00,373.65,1,25,341.25,63.05,278.20,FORCE_EXIT,0,A
1,2026-01-05,PUT,2026-01-05 09:24:00,2026-01-05 10:10:00,26297.55,26340.60,26358.25,26306.15,26336.45,26302.85,26550,PE,NIFTY26550PE,393.70,378.05,1,25,-391.25,63.65,-454.90,CANDLE_SL,0,A
